ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
7,0,2,JAK1_122,-8.56,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,3,JAK1_122,-8.439,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,4,JAK1_122,-8.362,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
8,0,0,JAK1_618,-6.533,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,True
8,0,1,JAK1_618,-5.485,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,2,JAK1_618,-5.268,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,3,JAK1_618,-5.232,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
10,0,0,JAK1_162,-8.625,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,True
10,0,1,JAK1_162,-8.333,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,2,JAK1_162,-8.19,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,3,JAK1_162,-8.187,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,4,JAK1_162,-7.898,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
11,0,0,JAK1_819,-8.296,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,True
11,0,1,JAK1_819,-8.176,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,2,JAK1_819,-8.102,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,3,JAK1_819,-8.083,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,4,JAK1_819,-7.916,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
12,0,0,JAK1_647,-0.787,CCc1ccc(C2C3=C(CC(C)(C)CC3=O)N(c3ccc(C(=O)Nc4nnc(S(N)(=O)=O)s4)cc3)C3=C2C(=O)CC(C)(C)C3)cc1,True
13,0,0,JAK1_826,-7.788,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,True
13,0,1,JAK1_826,-7.703,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,2,JAK1_826,-7.693,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
13,0,3,JAK1_826,-7.376,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,False
