ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
7,0,1,KDM1A_122,-7.619,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,2,KDM1A_122,-7.538,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,3,KDM1A_122,-7.499,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
7,0,4,KDM1A_122,-7.476,O=c1ccc2ccc(CCc3ccccc3)cc2o1,False
8,0,0,KDM1A_618,-10.008,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,True
8,0,1,KDM1A_618,-9.703,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,2,KDM1A_618,-9.492,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,3,KDM1A_618,-9.408,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
8,0,4,KDM1A_618,-9.373,CN1CCN(Cc2ccc(-c3cn4c5nc(ncc35)NCCCCCCNC(=O)C(N)CCCC4)cc2)CC1,False
10,0,0,KDM1A_162,-7.384,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,True
10,0,1,KDM1A_162,-7.234,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,2,KDM1A_162,-7.232,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,3,KDM1A_162,-7.216,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
10,0,4,KDM1A_162,-7.214,Nc1ccccc1NC(=O)c1ccc2nccnc2c1,False
11,0,0,KDM1A_819,-7.79,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,True
11,0,1,KDM1A_819,-7.673,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,2,KDM1A_819,-7.633,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,3,KDM1A_819,-7.61,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
11,0,4,KDM1A_819,-7.583,N=C(NCCSC(c1ccccc1)c1ccccc1)NCCc1c[nH]cn1,False
